chromosome,interval,mean_recomb_rate
b'Pseudochr3',64512000-66528000,0.000000000000008637319616146051
b'Pseudochr3',66528000-68544000,0.000000000000008876081784860064
b'Pseudochr3',68544000-70560000,0.000000000000009103800800187753
b'Pseudochr3',70560000-72576000,0.000000000000009347782576642046
b'Pseudochr3',72576000-74592000,0.000000000000009653888246920597
b'Pseudochr3',74592000-76608000,0.00000000000000993970745986461
b'Pseudochr3',76608000-78624000,0.00000000000001016147544024256
b'Pseudochr3',78624000-80640000,0.000000000000010377225466840783
b'Pseudochr3',80640000-82656000,0.000000000000010659016360622158
b'Pseudochr3',82656000-84672000,0.000000000000010967530250095721
b'Pseudochr3',84672000-86688000,0.000000000000011317771418215541
b'Pseudochr3',86688000-88704000,0.000000000000011998797172563239
b'Pseudochr3',88704000-90720000,0.000000000000012930697305917204
b'Pseudochr3',90720000-92736000,0.000000000000013820313823698401
b'Pseudochr3',92736000-94752000,0.000000000000014170399529963397
b'Pseudochr3',94752000-96768000,0.00000000000001446335972576612
b'Pseudochr3',96768000-98784000,0.000000000000014872327992908706
b'Pseudochr3',98784000-100800000,0.000000000000015093271612049452
b'Pseudochr3',100800000-102816000,0.0000000000000153355809909009
b'Pseudochr3',102816000-104832000,0.00000000000001564130876885146
b'Pseudochr3',104832000-106848000,0.000000000000015870154044992654
b'Pseudochr3',106848000-108864000,0.000000000000016127130214622596
b'Pseudochr3',108864000-110880000,0.00000000000001641775125775406
b'Pseudochr3',110880000-112896000,0.00000000000001681538150862296
b'Pseudochr3',112896000-114912000,0.000000000000017506998802333466
b'Pseudochr4',0-2015000,0.000000000000000929787817178032
b'Pseudochr4',2015000-4030000,0.0000000000000014931138546578819
b'Pseudochr4',4030000-6045000,0.0000000000000020115932256983034
b'Pseudochr4',6045000-8060000,0.0000000000000023170851506869267
b'Pseudochr4',8060000-10075000,0.000000000000002545502428109911
b'Pseudochr4',10075000-12090000,0.000000000000002707610962610908
b'Pseudochr4',12090000-14105000,0.0000000000000028713330173070524
b'Pseudochr4',14105000-16120000,0.0000000000000030350045353121552
b'Pseudochr4',16120000-18135000,0.000000000000003203016775049203
b'Pseudochr4',18135000-20150000,0.0000000000000033614744862684723
b'Pseudochr4',20150000-22165000,0.0000000000000035362162335155144
b'Pseudochr4',22165000-24180000,0.00000000000000371001087418296
b'Pseudochr4',24180000-26195000,0.000000000000003905953149172773
b'Pseudochr4',26195000-28210000,0.000000000000004120261114602739
b'Pseudochr4',28210000-30225000,0.000000000000004317124000232791
b'Pseudochr4',30225000-32240000,0.000000000000004512558962397798
b'Pseudochr4',32240000-34255000,0.000000000000004699575615606542
b'Pseudochr4',34255000-36270000,0.000000000000004868040694522125
b'Pseudochr4',36270000-38285000,0.000000000000005042336092433828
b'Pseudochr4',38285000-40300000,0.0000000000000052128454592340045
b'Pseudochr4',40300000-42315000,0.000000000000005403686499169207
b'Pseudochr4',42315000-44330000,0.000000000000005605148107546943
b'Pseudochr4',44330000-46345000,0.000000000000005819555253702759
b'Pseudochr4',46345000-48360000,0.000000000000006051977810536922
b'Pseudochr4',48360000-50375000,0.000000000000006282653626776511
b'Pseudochr4',50375000-52390000,0.000000000000006527715300481264
b'Pseudochr4',52390000-54405000,0.000000000000006754627681266289
b'Pseudochr4',54405000-56420000,0.000000000000006963960955895061
b'Pseudochr4',56420000-58435000,0.000000000000007389213361370706
b'Pseudochr4',58435000-60450000,0.000000000000007818586705805338
b'Pseudochr4',60450000-62465000,0.000000000000008477313066562534
b'Pseudochr4',62465000-64480000,0.000000000000008994931670864058
